,account_id,spotted,hits,frags,wins,losses,battles,damaged_dealt,damaged_received,shots,xp,win_and_survived,survived_battles
0,1048534410,7602,36851,4644,3612,4464,8099,8630412,12101325,41796,5580080,1696,1785
1,1011898723,14877,95351,11676,9098,10075,19381,21067825,22957247,122498,8974540,5481,5940
2,1040780836,10982,88489,10779,7387,7320,14811,14772160,13481404,111844,8608154,4715,4871
3,1027925357,6650,26609,2663,2523,3026,5580,3963640,4924959,33449,2169644,1319,1389
4,1021936576,21439,143022,22217,9980,7611,17787,23487864,16177532,184451,11067497,7629,7774
5,1039168342,2401,35647,4081,2702,3108,5873,2782141,3443850,75866,2203429,2117,2401
6,1025308478,3147,33638,4116,2959,3125,6130,5146206,4768417,50402,2573211,2180,2497
7,1009911265,14733,85465,11084,6639,5950,12869,13171008,11813037,105798,5864179,3734,3859
8,1012474417,6951,63766,7406,5104,5245,10458,6641669,7548616,79686,4209010,3111,3171
9,1024945733,13014,90831,13574,7759,7739,15611,12611910,14022129,129011,7411802,4942,5305
