,account_id,spotted,hits,frags,wins,losses,battles,damaged_dealt,damaged_received,shots,xp,win_and_survived,survived_battles
0,1012860030,2916,22949,3199,2150,2213,4395,3741105,4028419,31549,2136825,1266,1341
1,1009730758,1059,4393,339,452,545,1017,269538,536942,6347,234868,211,226
2,1026408952,946,10743,1526,1096,1289,2404,1544081,1834070,16350,975007,715,766
3,1052456591,621,17255,2112,1044,958,2019,1591961,1056599,21438,973814,813,848
4,1012407914,1019,8004,568,596,747,1381,351475,610345,12683,287121,302,324
5,1039774968,3092,19213,1315,1135,1278,2426,1852209,2507819,22561,1127508,472,491
6,1030505621,1652,17162,2161,1372,1447,2846,1406928,1704214,27513,988886,781,816
7,1055353975,1070,17741,2239,1402,1793,3216,3678508,3694568,21641,2619133,959,1028
8,1051974958,1375,28085,3727,1588,993,2599,3280883,2181976,32539,1755742,1328,1369
9,1019415769,3177,24708,2786,2017,2054,4120,2753979,3335239,33043,1633217,1315,1364
10,1043024168,2751,17474,2051,1456,1310,2792,2961874,2613182,21870,1774508,855,880
11,1034858636,5476,29773,3617,2359,2408,4799,3717660,4181184,38463,2421759,1278,1319
12,1009111944,2001,9265,1218,711,751,1487,1341328,1314834,11215,790256,451,477
13,1016912547,1705,22352,607,726,1001,1748,436775,994042,35241,416970,306,331
14,1046860663,370,7630,974,554,612,1177,1211320,942124,9574,619065,414,455
15,1022622848,878,9130,707,478,506,1006,393745,447418,13102,311447,306,330
16,1007701153,1237,7776,998,650,591,1269,603389,571966,10461,385518,354,371
17,1033675917,1839,18730,1820,1417,1800,3254,1836969,2861563,26372,1521137,808,890
18,1033532110,2007,15488,1905,1219,1218,2461,2412861,1884931,18761,1459653,683,716
19,1014975850,2580,23517,2757,1544,1503,3112,1985002,2141081,33595,1111464,946,990
20,1030507357,4456,31804,3017,1942,1865,3825,3847289,3599684,37576,2144083,1178,1190
21,1018277510,3539,24237,2340,1786,1860,3674,2482084,2735706,30408,1415434,1056,1088
22,1030446588,1694,13557,1508,972,1089,2082,1118384,1401301,19741,710452,550,586
23,1049636003,872,10213,1355,595,495,1096,972335,677248,12419,537763,413,432
24,1020540389,2359,15753,1497,1342,1675,3054,1052034,1763304,28430,781219,606,631
25,1011495640,2109,19366,2091,1456,1791,3336,1759543,2217641,30320,1009636,953,1031
26,1009949858,1318,5892,441,517,706,1255,585356,1113681,7343,391819,258,288
27,1041986983,2555,11289,1411,1006,1167,2189,1458390,2163542,16317,956488,496,525
28,1015895845,1200,6165,892,608,762,1393,682680,763762,8819,500575,314,338
29,1018870260,2634,28685,1649,1537,1978,3556,1143374,1862659,45211,902432,746,791
30,1057721794,1366,13339,1311,669,613,1294,1232458,945266,16384,807247,385,388
31,1013264082,914,4153,463,447,578,1052,310116,410204,6305,218733,211,230
32,1014845077,2015,10294,1031,1014,1097,2163,615601,1056173,17505,509781,561,602
33,1047797255,624,11316,1530,760,914,1681,1276817,1321599,14762,651946,552,587
34,1018485653,2108,17166,1616,1048,1142,2222,829557,1004055,25295,627326,537,554
35,1044373661,1546,6623,610,527,544,1084,898840,988180,8205,545913,190,193
